,company,Product.code...number,address,city,country,name,Product_Code,Product_Number,Product_categories,full_address,company_Phillips,company_Akzo,company_Van_Houten,company_Unilever,product_Smartphone,product_TV,product_Laptop,product_Tablet
1,Phillips,p-5,Groningensingel 147,arnhem,the netherlands,dhr p. jansen,p,5,Smartphone,"Groningensingel 147,arnhem,the netherlands",1,0,0,0,1,0,0,0
2,Phillips,p-43,Groningensingel 148,arnhem,the netherlands,dhr p. hansen,p,43,Smartphone,"Groningensingel 148,arnhem,the netherlands",1,0,0,0,1,0,0,0
3,Phillips,x-3,Groningensingel 149,arnhem,the netherlands,dhr j. Gansen,x,3,Laptop,"Groningensingel 149,arnhem,the netherlands",1,0,0,0,0,0,1,0
4,Phillips,x-34,Groningensingel 150,arnhem,the netherlands,dhr p. mansen,x,34,Laptop,"Groningensingel 150,arnhem,the netherlands",1,0,0,0,0,0,1,0
5,Phillips,x-12,Groningensingel 151,arnhem,the netherlands,dhr p. fransen,x,12,Laptop,"Groningensingel 151,arnhem,the netherlands",1,0,0,0,0,0,1,0
6,Phillips,p-23,Groningensingel 152,arnhem,the netherlands,dhr p. franssen,p,23,Smartphone,"Groningensingel 152,arnhem,the netherlands",1,0,0,0,1,0,0,0
7,Akzo,v-43,Leeuwardenweg 178,arnhem,the netherlands,dhr p. bansen,v,43,TV,"Leeuwardenweg 178,arnhem,the netherlands",0,1,0,0,0,1,0,0
8,Akzo,v-12,Leeuwardenweg 179,arnhem,the netherlands,dhr p. vansen,v,12,TV,"Leeuwardenweg 179,arnhem,the netherlands",0,1,0,0,0,1,0,0
9,Akzo,x-5,Leeuwardenweg 180,arnhem,the netherlands,dhr p. bransen,x,5,Laptop,"Leeuwardenweg 180,arnhem,the netherlands",0,1,0,0,0,0,1,0
10,Akzo,p-34,Leeuwardenweg 181,arnhem,the netherlands,dhr p. janssen,p,34,Smartphone,"Leeuwardenweg 181,arnhem,the netherlands",0,1,0,0,1,0,0,0
11,Akzo,q-5,Leeuwardenweg 182,arnhem,the netherlands,mevr l.  rokken,q,5,Tablet,"Leeuwardenweg 182,arnhem,the netherlands",0,1,0,0,0,0,0,1
12,Akzo,q-9,Leeuwardenweg 183,arnhem,the netherlands,mevr l.  lokken,q,9,Tablet,"Leeuwardenweg 183,arnhem,the netherlands",0,1,0,0,0,0,0,1
13,Akzo,x-8,Leeuwardenweg 184,arnhem,the netherlands,mevr l.  mokken,x,8,Laptop,"Leeuwardenweg 184,arnhem,the netherlands",0,1,0,0,0,0,1,0
14,Phillips,p-56,Delfzijlstraat 54,arnhem,the netherlands,mevr l.  mokken,p,56,Smartphone,"Delfzijlstraat 54,arnhem,the netherlands",1,0,0,0,1,0,0,0
15,Phillips,v-67,Delfzijlstraat 55,arnhem,the netherlands,mevr l.  mokken,v,67,TV,"Delfzijlstraat 55,arnhem,the netherlands",1,0,0,0,0,1,0,0
16,Phillips,v-21,Delfzijlstraat 56,arnhem,the netherlands,mevr l.  mokken,v,21,TV,"Delfzijlstraat 56,arnhem,the netherlands",1,0,0,0,0,1,0,0
17,Van Houten,x-45,Delfzijlstraat 57,arnhem,the netherlands,mevr l.  sokken,x,45,Laptop,"Delfzijlstraat 57,arnhem,the netherlands",0,0,1,0,0,0,1,0
18,Van Houten,v-56,Delfzijlstraat 58,arnhem,the netherlands,mevr l.  wokken,v,56,TV,"Delfzijlstraat 58,arnhem,the netherlands",0,0,1,0,0,1,0,0
19,Van Houten,v-65,Delfzijlstraat 59,arnhem,the netherlands,mevr l.  kokken,v,65,TV,"Delfzijlstraat 59,arnhem,the netherlands",0,0,1,0,0,1,0,0
20,Van Houten,x-21,Delfzijlstraat 60,arnhem,the netherlands,mevr l.  Bokken,x,21,Laptop,"Delfzijlstraat 60,arnhem,the netherlands",0,0,1,0,0,0,1,0
21,Van Houten,p-23,Delfzijlstraat 61,arnhem,the netherlands,mevr l.  dokken,p,23,Smartphone,"Delfzijlstraat 61,arnhem,the netherlands",0,0,1,0,1,0,0,0
22,Unilever,x-3,Jourestraat 23,arnhem,the netherlands,mevr l.  gokken,x,3,Laptop,"Jourestraat 23,arnhem,the netherlands",0,0,0,1,0,0,1,0
23,Unilever,q-4,Jourestraat 24,arnhem,the netherlands,mevr l.  stokken,q,4,Tablet,"Jourestraat 24,arnhem,the netherlands",0,0,0,1,0,0,0,1
24,Unilever,q-6,Jourestraat 25,arnhem,the netherlands,mevr l.  rokken,q,6,Tablet,"Jourestraat 25,arnhem,the netherlands",0,0,0,1,0,0,0,1
25,Unilever,q-8,Jourestraat 26,arnhem,the netherlands,mevr l.  rokken,q,8,Tablet,"Jourestraat 26,arnhem,the netherlands",0,0,0,1,0,0,0,1
